,corrected pval,Result
ANG_L,0.9982575479962904,False
ATC_L,0.9982575479962904,False
HIP_L,0.9982575479962904,False
IFC_L,0.9982575479962904,False
M1_L,0.0017714237418963287,True
MFC_L,0.9982575479962904,False
OFC_L,0.6122623379142602,False
SMTC_L,0.9982575479962904,False
SPC_L,0.9982575479962904,False
V1_L,7.420016563522973e-10,True
aCING_L,0.9982575479962904,False
aINS_L,0.9982575479962904,False
aITC_L,0.9982575479962904,False
dlPFC_L,0.9982575479962904,False
iPFC_L,0.9982575479962904,False
pCING_L,0.9982575479962904,False
ANG_R,0.9982575479962904,False
ATC_R,0.9982575479962904,False
HIP_R,0.9982575479962904,False
IFC_R,0.9982575479962904,False
M1_R,0.9982575479962904,False
MFC_R,0.9982575479962904,False
OFC_R,0.9982575479962904,False
SMTC_R,0.9982575479962904,False
SPC_R,0.9982575479962904,False
V1_R,1.2335195528592676e-05,True
aCING_R,0.9982575479962904,False
aINS_R,0.9982575479962904,False
aITC_R,0.9982575479962904,False
dlPFC_R,0.9982575479962904,False
iPFC_R,0.9982575479962904,False
pCING_R,0.9982575479962904,False
