,corrected pval,Result
ANG_L,0.5408438332860143,False
ATC_L,0.3217574026832553,False
HIP_L,0.6952234408329071,False
IFC_L,0.3217574026832553,False
M1_L,0.9999999999768124,False
MFC_L,0.1765725587072574,False
OFC_L,0.9999999999768124,False
SMTC_L,0.5408438332860143,False
SPC_L,0.34549099705148195,False
V1_L,0.9999999999768124,False
aCING_L,0.37159159541009973,False
aINS_L,0.8153313781076185,False
aITC_L,0.39140874328714204,False
dlPFC_L,0.12860721210932088,False
iPFC_L,0.5408438332860143,False
pCING_L,0.4171869492513983,False
ANG_R,0.1765725587072574,False
ATC_R,0.5996497915306175,False
HIP_R,0.5140705841401385,False
IFC_R,0.34549099705148195,False
M1_R,0.4982726960318043,False
MFC_R,0.05575846411870754,False
OFC_R,0.5140705841401385,False
SMTC_R,0.3217574026832553,False
SPC_R,0.3318073875296787,False
V1_R,0.9999999999768124,False
aCING_R,0.2899166996332753,False
aINS_R,0.4577045749958454,False
aITC_R,0.16049683550462238,False
dlPFC_R,0.12860721210932088,False
iPFC_R,0.34549099705148195,False
pCING_R,0.8543933937902742,False
